ticket_id,title,category_reported,domain,priority,severity,status,created_at,resolved_at,description,symptoms,impact,service_component,environment,technology_stack,root_cause,resolution_steps,runbook_available,runbook_used,manual_intervention,true_category,predicted_category,confidence_score,resolution_time_minutes
INC-1011,Implement token rotation policy,Bug,Authentication / Authorization Issues,P3,Medium,Closed,2025-08-04 12:29:00,2025-08-06 10:29:00,FYI - Security audit flagged long-lived refresh tokens as a risk. Need to define and enforce rotation policy.,Security audit flagged long-lived refresh tokens as risk.,Stolen refresh tokens valid indefinitely if not rotated.,SSO Gateway,Production,Keycloak,No refresh token rotation or expiry policy defined.,1. Defined rotation policy. 2. Implemented in auth service. 3. Updated client SDKs.,False,False,False,Improvement / Task,Bug,0.73,2760
INC-1012,Add MFA to admin portal,Improvement / Task,Authentication / Authorization Issues,P3,Low,Resolved,2025-12-24 11:46:00,2025-12-24 23:46:00,Tech debt item: Security review flagged admin portal as accessible with password only. MFA needs to be enforced.,Security review flagged admin portal accessible with password only.,Single factor auth on high-privilege accounts is a critical risk.,IAM Module,Production,Keycloak,MFA was descoped during initial launch and never revisited.,1. Integrated TOTP via auth service. 2. Enforced for admin role. 3. Enrolled all admins.,False,False,True,Improvement / Task,Improvement / Task,0.89,720
INC-1013,Service unreachable,Incident,Network / Connectivity Issues,P2,Medium,Resolved,2026-01-30 04:31:00,2026-02-01 10:31:00,"Getting complaints that Auth service cannot reach User service, connection refused.",Auth service cannot reach User service. Connection refused on port 8080.,Login broken for all users.,Internal Mesh,Production,"WireGuard, Linux",NetworkPolicy accidentally blocking inter-service traffic after namespace migration.,1. Identified with kubectl describe netpol. 2. Reverted policy YAML. 3. Verified connectivity.,True,True,True,Incident,Incident,0.94,3240
INC-1014,High CPU on worker nodes,Bug,Infrastructure / Cloud Issues,P2,Medium,Closed,2025-08-14 10:18:00,2025-08-18 19:18:00,"FYI - Node CPU at 95%+, multiple pods throttled. Any ideas?",Node CPU at 95%+. Multiple pods throttled causing cascading slowdowns.,"System-wide latency spike, 3 services degraded simultaneously.",Load Balancer,Production,"Terraform, AWS",Runaway Celery task consuming CPU due to infinite retry loop on bad message.,1. Identified task with top. 2. Purged queue. 3. Added max_retries to task config.,False,False,True,Incident,Bug,0.72,6300
INC-1015,Service unreachable,Incident,Network / Connectivity Issues,P2,Medium,Resolved,2025-08-04 18:23:00,2025-08-05 14:23:00,"FYI - Auth service cannot reach User service, connection refused. Any ideas?",Auth service cannot reach User service. Connection refused on port 8080.,Login broken for all users.,VPN Gateway,Production,Istio,NetworkPolicy accidentally blocking inter-service traffic after namespace migration.,1. Identified with kubectl describe netpol. 2. Reverted policy YAML. 3. Verified connectivity.,True,True,False,Incident,Incident,0.71,1200
INC-1016,Autovacuum not keeping up,Bug,Database Issues,P3,Low,Closed,2025-10-20 05:46:00,2025-10-23 04:46:00,"Urgent: Table bloat increasing, query times gradually degrading.","Table bloat increasing, query times gradually degrading over 2 weeks.",Slow degradation of query performance across reporting module.,Reporting DB,Production,"PostgreSQL, Flyway",Autovacuum cost delay too high for write-heavy reporting table.,1. Ran manual VACUUM ANALYZE. 2. Tuned autovacuum_cost_delay. 3. Monitored bloat.,False,False,False,Bug,Bug,0.93,4260
INC-1017,High CPU on worker nodes,Improvement / Task,Infrastructure / Cloud Issues,P2,Medium,Closed,2025-10-05 08:29:00,2025-10-06 23:29:00,"Node CPU at 95%+, multiple pods throttled.",Node CPU at 95%+. Multiple pods throttled causing cascading slowdowns.,"System-wide latency spike, 3 services degraded simultaneously.",Celery Workers,Production,"Terraform, AWS",Runaway Celery task consuming CPU due to infinite retry loop on bad message.,1. Identified task with top. 2. Purged queue. 3. Added max_retries to task config.,False,False,False,Bug,Improvement / Task,0.61,2340
INC-1018,Node not ready in cluster,Bug,Infrastructure / Cloud Issues,P3,Low,Resolved,2025-08-26 08:36:00,2025-08-28 23:36:00,"Kubernetes node showing NotReady, pods being evicted. Please look into this.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",EC2 Fleet,Production,"AWS EC2, Python",Kubelet ran out of memory due to log file accumulation on node.,1. Drained node. 2. Cleared logs. 3. Restarted kubelet. 4. Uncordoned.,True,False,True,Bug,Bug,0.93,3780
INC-1019,Timeouts on Dashboard,Bug,Application / Backend Issues,P3,Medium,Resolved,2025-10-31 01:19:00,2025-11-02 10:19:00,Dashboard takes 30+ seconds to load and then times out.,"Gateway timeouts (504), high latency on /metrics endpoint.",All internal users experiencing slow load times.,Frontend Webapp,Production,"Python, Django",Inefficient data aggregation logic causing N+1 database queries.,1. Temporarily disabled heavy widget. 2. Restarted API pods. 3. Optimised query with JOIN.,False,False,False,Bug,Bug,0.88,3420
INC-1020,Database migration failed,Improvement / Task,Database Issues,P3,Medium,Closed,2025-12-13 02:24:00,2025-12-17 07:24:00,"Hey team, Deploy pipeline failed at migration step, schema in inconsistent state.",Deploy pipeline failed at migration step. Service rolled back but DB partially migrated.,"Inconsistent schema state, one feature broken until fixed.",Analytics DB,Production,"PostgreSQL, PgBouncer",Non-transactional DDL statement (adding index) inside transaction block.,1. Ran compensating migration manually. 2. Verified schema. 3. Fixed migration script.,False,False,False,Incident,Improvement / Task,0.61,6060
INC-1021,Timeouts on Dashboard,Bug,Application / Backend Issues,P2,Medium,Resolved,2025-10-25 20:04:00,2025-10-28 02:04:00,Dashboard takes 30+ seconds to load and then times out. It was working fine yesterday.,"Gateway timeouts (504), high latency on /metrics endpoint.",All internal users experiencing slow load times.,Notification Service,Production,"Python, FastAPI",Inefficient data aggregation logic causing N+1 database queries.,1. Temporarily disabled heavy widget. 2. Restarted API pods. 3. Optimised query with JOIN.,True,False,False,Bug,Bug,0.78,3240
INC-1022,OAuth token refresh broken,Bug,Authentication / Authorization Issues,P2,High,Resolved,2025-08-09 12:20:00,2025-08-11 22:20:00,"API clients getting 401 after 1 hour, refresh token invalid. Please look into this.",API clients getting 401 after 1 hour. Refresh token call returns invalid_grant.,All API integrations failing after initial token expires.,Session Store,Production,Keycloak,Refresh token invalidated on any login event due to misconfigured session policy.,1. Identified session policy setting. 2. Disabled rotate-on-login. 3. Reissued tokens.,True,True,False,Bug,Bug,0.79,3480
INC-1023,Grafana dashboard showing no data,Incident,Monitoring / Alert Noise,P2,Medium,Closed,2025-10-06 12:47:00,2025-10-09 22:47:00,All Grafana panels showing No Data despite metrics being present. Need a fix ASAP.,All panels in production dashboard showing No Data. Metrics visible in Prometheus UI.,Operations team blind to production health.,PagerDuty,Production,"Grafana, Loki",Grafana datasource URL changed after Prometheus pod rescheduled to new IP.,1. Updated datasource URL to use service DNS instead of pod IP. 2. Verified panels.,False,False,True,Incident,Incident,0.78,4920
INC-1024,Deadlock errors in transaction logs,Bug,Database Issues,P2,High,Closed,2025-10-01 08:12:00,2025-10-03 13:12:00,"Hey team, Intermittent deadlock exceptions in order processing every 2 hours.",Intermittent deadlock exceptions in order processing service every ~2 hours.,Approximately 0.5% of orders failing and requiring manual retry.,Inventory DB,Production,Redis,Two services acquiring locks on orders and inventory tables in opposite order.,1. Identified lock order from pg_locks. 2. Standardised lock acquisition order. 3. Deployed.,False,False,False,Bug,Bug,0.81,3180
INC-1025,OAuth token refresh broken,Incident,Authentication / Authorization Issues,P1,Critical,Resolved,2026-01-08 00:31:00,2026-01-09 13:31:00,"API clients getting 401 after 1 hour, refresh token invalid. It was working fine yesterday.",API clients getting 401 after 1 hour. Refresh token call returns invalid_grant.,All API integrations failing after initial token expires.,IAM Module,Production,"LDAP, Active Directory",Refresh token invalidated on any login event due to misconfigured session policy.,1. Identified session policy setting. 2. Disabled rotate-on-login. 3. Reissued tokens.,False,False,True,Incident,Incident,0.91,2220
INC-1026,Add automated smoke tests post-deploy,Improvement / Task,CI/CD & Deployment Issues,P3,Medium,Closed,2025-08-19 16:56:00,2025-08-23 18:56:00,"Hey team, Post-incident review showed deployment issues could be caught in 2 minutes with basic smoke tests.",Post-incident review showed deployment issue could have been caught in 2 minutes.,Deployments currently have no automated health validation step.,Docker Registry,Production,"Docker, AWS ECR",Smoke test suite exists locally but never integrated into pipeline.,1. Added smoke test stage to Jenkins pipeline. 2. Auto-rollback on failure. 3. Tested.,True,False,False,Improvement / Task,Improvement / Task,0.72,5880
INC-1027,SSO login loop,Improvement / Task,Authentication / Authorization Issues,P2,High,Closed,2026-01-01 04:05:00,2026-01-04 18:05:00,CRITICAL: Users redirected in infinite loop between app and SSO provider.,Users redirected in infinite loop between app and SSO provider. Never lands on dashboard.,"All SSO-based logins broken, affecting 80% of user base.",Session Store,Production,"LDAP, Active Directory",Redirect URI mismatch after domain change not updated in SSO provider config.,1. Updated redirect URI in Keycloak. 2. Cleared browser cookies. 3. Verified login flow.,False,False,True,Incident,Improvement / Task,0.6,5160
INC-1028,Pipeline stuck,Bug,CI/CD & Deployment Issues,P2,Medium,Resolved,2025-12-08 07:22:00,2025-12-09 20:22:00,Production deployment pipeline hanging at build step for 2+ hours. It was working fine yesterday.,Production deployment pipeline hanging at build step for 2+ hours. No error output.,"Release blocked, hotfix cannot reach production.",GitHub Actions Runner,Production,"Kubernetes, Helm",Deadlock in concurrent test step caused by shared file handle.,1. Aborted stuck job. 2. Cleared workspace. 3. Added timeout to test step. 4. Reran.,False,False,False,Bug,Bug,0.82,2220
INC-1029,Add automated smoke tests post-deploy,Incident,CI/CD & Deployment Issues,P3,Low,Resolved,2025-12-26 20:25:00,2025-12-28 13:25:00,Post-incident review showed deployment issues could be caught in 2 minutes with basic smoke tests.,Post-incident review showed deployment issue could have been caught in 2 minutes.,Deployments currently have no automated health validation step.,CI/CD Pipeline,Production,GitLab CI,Smoke test suite exists locally but never integrated into pipeline.,1. Added smoke test stage to Jenkins pipeline. 2. Auto-rollback on failure. 3. Tested.,False,False,False,Improvement / Task,Incident,0.57,2460
INC-1030,Feature not working,Incident,Application / Backend Issues,P3,Low,Resolved,2025-09-15 07:50:00,2025-09-16 17:50:00,Urgent: Export to CSV button does nothing.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Order API,Production,"Python, Django",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,True,Incident,Incident,0.93,2040
INC-1031,Node not ready in cluster,Incident,Infrastructure / Cloud Issues,P2,Medium,Closed,2025-12-03 00:36:00,2025-12-07 22:36:00,"Hey team, Kubernetes node showing NotReady, pods being evicted.",kubectl shows node in NotReady state. Pods evicted and rescheduled causing brief downtime.,"30% capacity reduction, some pods pending for 15 minutes.",Kubernetes Cluster,Production,"Ansible, Linux",Kubelet ran out of memory due to log file accumulation on node.,1. Drained node. 2. Cleared logs. 3. Restarted kubelet. 4. Uncordoned.,False,False,True,Incident,Incident,0.97,7080
INC-1032,API returning 500s,Incident,Application / Backend Issues,P3,Low,Closed,2025-11-15 19:38:00,2025-11-16 00:38:00,Checkout API is failing with 500 Internal Server Error. It was working fine yesterday.,"Spike in 500 status codes, logs show NullPointerException in payment module.",Users cannot complete checkout (approx 200 users affected).,Frontend Webapp,Production,"React, Node.js",Unhandled null value in payment payload from third-party provider.,1. Added null check. 2. Deployed hotfix. 3. Monitored error rates.,False,False,True,Incident,Incident,0.83,300
INC-1033,Set up cluster autoscaler,Improvement / Task,Infrastructure / Cloud Issues,P3,Low,Closed,2025-11-01 09:05:00,2025-11-06 06:05:00,During peak traffic pods go pending due to insufficient capacity. Manual scaling is causing too much toil.,"During peak traffic, pods pending due to insufficient node capacity.","Manual scaling required during traffic spikes, causing toil.",Kubernetes Cluster,Production,"Ansible, Linux","Cluster autoscaler not configured, capacity managed entirely manually.",1. Installed cluster-autoscaler helm chart. 2. Set min/max node counts. 3. Load tested.,True,False,False,Improvement / Task,Improvement / Task,0.97,7020
INC-1034,Memory leak in backend service,Bug,Application / Backend Issues,P1,High,Resolved,2025-10-20 21:20:00,2025-10-21 21:20:00,"FYI - Backend service memory growing unboundedly, pods restarting.","RSS memory growing unboundedly, OOM killer terminating pods every 6 hours.",Service restarts causing 2-3 min downtime every 6 hours for all users.,Analytics API,Staging,"Python, Django",Celery worker holding reference to large object after task completion.,1. Identified object with memory profiler. 2. Added explicit del. 3. Redeployed.,True,True,False,Bug,Bug,0.89,1440
INC-1035,Intermittent packet loss,Incident,Network / Connectivity Issues,P3,Medium,In Progress,2025-09-24 09:47:00,,"Customer reported: 2-5% ping loss between nodes, TCP retransmits elevated.",Ping loss between nodes 2-5% intermittently. TCP retransmits elevated.,"Degraded performance for all real-time features, chat and notifications affected.",API Gateway,Production,Cloudflare,Pending investigation,Pending investigation,True,True,False,Incident,Incident,0.77,
INC-1036,Intermittent packet loss,Incident,Network / Connectivity Issues,P2,Medium,Closed,2025-10-22 22:18:00,2025-10-27 16:18:00,"Getting complaints that 2-5% ping loss between nodes, TCP retransmits elevated.",Ping loss between nodes 2-5% intermittently. TCP retransmits elevated.,"Degraded performance for all real-time features, chat and notifications affected.",CoreDNS,Production,"WireGuard, Linux",Faulty NIC on one hypervisor host causing CRC errors.,1. Identified host with mtr. 2. Migrated VMs. 3. Raised ticket with data centre.,False,False,True,Incident,Incident,0.73,6840
INC-1037,Pipeline stuck,Bug,CI/CD & Deployment Issues,P3,Medium,Closed,2025-12-29 05:07:00,2025-12-30 08:07:00,Production deployment pipeline hanging at build step for 2+ hours.,Production deployment pipeline hanging at build step for 2+ hours. No error output.,"Release blocked, hotfix cannot reach production.",Jenkins,Production,"Kubernetes, Helm",Deadlock in concurrent test step caused by shared file handle.,1. Aborted stuck job. 2. Cleared workspace. 3. Added timeout to test step. 4. Reran.,False,False,False,Bug,Bug,0.74,1620
INC-1038,Autovacuum not keeping up,Bug,Database Issues,P2,High,Closed,2025-09-10 03:39:00,2025-09-11 09:39:00,"Table bloat increasing, query times gradually degrading. Need a fix ASAP.","Table bloat increasing, query times gradually degrading over 2 weeks.",Slow degradation of query performance across reporting module.,Inventory DB,Production,"MongoDB, Python",Autovacuum cost delay too high for write-heavy reporting table.,1. Ran manual VACUUM ANALYZE. 2. Tuned autovacuum_cost_delay. 3. Monitored bloat.,False,False,True,Bug,Bug,0.76,1800
INC-1039,API returning 500s,Incident,Application / Backend Issues,P2,Medium,Resolved,2025-09-25 11:35:00,2025-09-26 18:35:00,Checkout API is failing with 500 Internal Server Error. Affecting multiple users.,"Spike in 500 status codes, logs show NullPointerException in payment module.",Users cannot complete checkout (approx 200 users affected).,Frontend Webapp,Production,"Python, Django",Unhandled null value in payment payload from third-party provider.,1. Added null check. 2. Deployed hotfix. 3. Monitored error rates.,True,True,True,Incident,Incident,0.78,1860
INC-1040,Service unreachable,Bug,Network / Connectivity Issues,P3,Low,Closed,2025-10-16 12:52:00,2025-10-19 19:52:00,"Auth service cannot reach User service, connection refused. Need a fix ASAP.",Auth service cannot reach User service. Connection refused on port 8080.,Login broken for all users.,VPN Gateway,Production,"WireGuard, Linux",NetworkPolicy accidentally blocking inter-service traffic after namespace migration.,1. Identified with kubectl describe netpol. 2. Reverted policy YAML. 3. Verified connectivity.,False,False,False,Bug,Bug,0.97,4740
INC-1041,High CPU on worker nodes,Bug,Infrastructure / Cloud Issues,P2,Medium,Resolved,2025-11-18 20:07:00,2025-11-21 13:07:00,"Urgent: Node CPU at 95%+, multiple pods throttled.",Node CPU at 95%+. Multiple pods throttled causing cascading slowdowns.,"System-wide latency spike, 3 services degraded simultaneously.",Kubernetes Cluster,Production,"Kubernetes, Docker",Runaway Celery task consuming CPU due to infinite retry loop on bad message.,1. Identified task with top. 2. Purged queue. 3. Added max_retries to task config.,False,False,True,Bug,Bug,0.79,3900
INC-1042,DNS resolution failing,Incident,Network / Connectivity Issues,P2,High,Resolved,2025-09-26 06:29:00,2025-09-28 09:29:00,FYI - Services cannot resolve internal and external domains intermittently. Any ideas?,Services intermittently failing to resolve internal and external domains.,Cascading failures across 4 services depending on external APIs.,API Gateway,Production,Istio,CoreDNS pods overwhelmed by DNS flood from misconfigured ndots setting.,1. Scaled CoreDNS replicas from 2 to 5. 2. Added ndots:1 to pod DNS config. 3. Verified resolution.,True,True,True,Incident,Incident,0.74,3060
INC-1043,Add MFA to admin portal,Improvement / Task,Authentication / Authorization Issues,P3,Medium,In Progress,2025-08-30 07:29:00,,Security review flagged admin portal as accessible with password only. MFA needs to be enforced.,Security review flagged admin portal accessible with password only.,Single factor auth on high-privilege accounts is a critical risk.,Auth Service,Staging,"Redis, Node.js",Pending investigation,Pending investigation,False,False,False,Improvement / Task,Improvement / Task,0.96,
INC-1044,Grafana dashboard showing no data,Bug,Monitoring / Alert Noise,P1,Critical,Resolved,2025-10-25 12:27:00,2025-10-26 13:27:00,All Grafana panels showing No Data despite metrics being present. It was working fine yesterday.,All panels in production dashboard showing No Data. Metrics visible in Prometheus UI.,Operations team blind to production health.,Grafana,Staging,Prometheus,Grafana datasource URL changed after Prometheus pod rescheduled to new IP.,1. Updated datasource URL to use service DNS instead of pod IP. 2. Verified panels.,True,True,False,Bug,Bug,0.88,1500
INC-1045,S3 bucket access denied,Incident,Infrastructure / Cloud Issues,P2,High,Closed,2025-09-27 22:28:00,2025-09-30 10:28:00,"Hey team, Application throwing AccessDenied on all file upload attempts.",Application throwing AccessDenied on all S3 PutObject calls.,File uploads broken for all users.,S3 Buckets,Production,"Terraform, AWS",IAM role policy accidentally removed during infrastructure-as-code refactor.,1. Identified missing statement in Terraform diff. 2. Re-applied policy. 3. Verified uploads.,False,False,True,Incident,Incident,0.9,3600
INC-1046,Add rate limiting to public API,Improvement / Task,Application / Backend Issues,P3,Low,Closed,2025-11-24 06:57:00,2025-11-26 02:57:00,Tech debt item: Public API has no rate limiting. Identified during capacity planning — need to implement before launch.,"No immediate symptoms, identified during capacity planning review.",Risk of API abuse if not addressed before product launch.,Notification Service,Production,"Python, Django",Rate limiting was never implemented on public-facing endpoints.,1. Evaluated django-ratelimit. 2. Implemented per-IP throttle. 3. Tested with load script.,False,False,False,Improvement / Task,Improvement / Task,0.85,2640
INC-1047,Feature not working,Bug,Application / Backend Issues,P2,High,Closed,2025-11-18 00:20:00,2025-11-19 18:20:00,Export to CSV button does nothing.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Checkout Service,Production,"Python, FastAPI",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,False,Bug,Bug,0.97,2520
INC-1048,Slow query degrading API response,Bug,Application / Backend Issues,P1,High,Resolved,2025-08-19 08:25:00,2025-08-22 08:25:00,Orders endpoint latency spiked from 200ms to 8 seconds.,P99 latency spiking from 200ms to 8s on /orders endpoint.,Order confirmation page timing out for ~15% of users.,Frontend Webapp,Production,"React, Node.js",Missing index on orders.created_at column after schema migration.,1. Ran EXPLAIN ANALYZE. 2. Added index concurrently. 3. Verified latency drop.,True,False,False,Bug,Bug,0.9,4320
INC-1049,Feature not working,Bug,Application / Backend Issues,P1,High,Resolved,2025-12-23 00:39:00,2025-12-25 06:39:00,Export to CSV button does nothing. Need a fix ASAP.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Order API,Production,"Python, FastAPI",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,False,Bug,Bug,0.85,3240
INC-1050,Replication lag spike,Bug,Database Issues,P2,High,Resolved,2025-11-18 20:52:00,2025-11-19 15:52:00,FYI - Read replica falling 45 minutes behind primary.,Read replica falling 45 minutes behind primary. Analytics queries returning stale data.,"Reporting dashboards showing incorrect figures, business decisions affected.",Reporting DB,Production,MySQL,Long-running migration on primary blocked replication slot.,1. Cancelled migration. 2. Rescheduled for off-peak. 3. Monitored lag until recovered.,False,False,False,Bug,Bug,0.91,1140
INC-1051,API returning 500s,Bug,Application / Backend Issues,P2,High,Closed,2025-10-24 20:20:00,2025-10-29 14:20:00,Checkout API is failing with 500 Internal Server Error. It was working fine yesterday.,"Spike in 500 status codes, logs show NullPointerException in payment module.",Users cannot complete checkout (approx 200 users affected).,Reporting Job,Production,"Go, Gin",Unhandled null value in payment payload from third-party provider.,1. Added null check. 2. Deployed hotfix. 3. Monitored error rates.,True,False,False,Bug,Bug,0.82,6840
INC-1052,Memory leak in backend service,Bug,Application / Backend Issues,P2,High,Closed,2025-10-25 07:51:00,2025-10-28 03:51:00,"Hey team, Backend service memory growing unboundedly, pods restarting.","RSS memory growing unboundedly, OOM killer terminating pods every 6 hours.",Service restarts causing 2-3 min downtime every 6 hours for all users.,Checkout Service,Production,"React, Node.js",Celery worker holding reference to large object after task completion.,1. Identified object with memory profiler. 2. Added explicit del. 3. Redeployed.,False,False,False,Bug,Bug,0.85,4080
INC-1053,One-off job failure,Bug,Misc / Edge / New Issues,P1,Critical,Resolved,2025-08-13 19:39:00,2025-08-15 07:39:00,"Urgent: Nightly report generation failed once at 3 AM, no recurrence.",Nightly report generation failed once at 3 AM. No recurrence.,"Finance team missing one daily report, manually regenerated.",Data Pipeline,Production,Python,Transient network blip to external API during report generation window.,1. Manually triggered report. 2. Added retry with exponential backoff. 3. Monitored.,True,True,False,Bug,Bug,0.89,2160
INC-1054,Feature not working,Incident,Application / Backend Issues,P2,Medium,Resolved,2025-09-10 03:55:00,2025-09-12 09:55:00,pls check ASAP: Export to CSV button does nothing.,"No network request sent when clicking export button, console shows JS TypeError.","Users unable to export reports, blocking end-of-day workflows.",Notification Service,Staging,"Python, FastAPI",Recent refactor broke event listener binding on dynamic elements.,1. Reverted UI component commit. 2. Cleared CDN cache. 3. Re-deployed.,False,False,True,Incident,Incident,0.81,3240
INC-1055,Automate log rotation configuration,Improvement / Task,Infrastructure / Cloud Issues,P2,Medium,Closed,2025-12-27 03:27:00,2026-01-01 00:27:00,FYI - Post-incident review flagged manual log rotation as a recurring operational risk across all nodes.,Post-incident review revealed manual log rotation as recurring risk.,Recurring risk of disk full incidents across all logging nodes.,EC2 Fleet,Production,"Elasticsearch, Linux",No standardised log rotation policy enforced via configuration management.,1. Added logrotate config to Ansible playbook. 2. Applied across fleet. 3. Tested.,True,True,False,Improvement / Task,Improvement / Task,0.75,7020
INC-1056,Token expiration issue,Incident,Authentication / Authorization Issues,P3,Medium,In Progress,2025-09-12 07:59:00,,Users getting randomly logged out mid-session. Please look into this.,Users getting randomly logged out mid-session. JWT validation failing for valid tokens.,"All users affected, session stability broken platform-wide.",IAM Module,Staging,Keycloak,Pending investigation,Pending investigation,True,True,False,Incident,Incident,0.74,
